"","values","ind"
"192","IFNA5","REACTOME_INNATE_IMMUNE_SYSTEM"
"193","IFNA6","REACTOME_INNATE_IMMUNE_SYSTEM"
"194","IFNA7","REACTOME_INNATE_IMMUNE_SYSTEM"
"195","IFNA8","REACTOME_INNATE_IMMUNE_SYSTEM"
"196","IFNA10","REACTOME_INNATE_IMMUNE_SYSTEM"
"197","IFNA14","REACTOME_INNATE_IMMUNE_SYSTEM"
"198","IFNA16","REACTOME_INNATE_IMMUNE_SYSTEM"
"199","IFNA17","REACTOME_INNATE_IMMUNE_SYSTEM"
"200","IFNA21","REACTOME_INNATE_IMMUNE_SYSTEM"
"201","IFNB1","REACTOME_INNATE_IMMUNE_SYSTEM"
"202","APP","REACTOME_INNATE_IMMUNE_SYSTEM"
"203","TICAM2","REACTOME_INNATE_IMMUNE_SYSTEM"
"204","IKBKB","REACTOME_INNATE_IMMUNE_SYSTEM"
"205","IRAK1","REACTOME_INNATE_IMMUNE_SYSTEM"
"206","IRAK2","REACTOME_INNATE_IMMUNE_SYSTEM"
"207","IRF1","REACTOME_INNATE_IMMUNE_SYSTEM"
"208","IRF2","REACTOME_INNATE_IMMUNE_SYSTEM"
"209","IRF3","REACTOME_INNATE_IMMUNE_SYSTEM"
"210","IRF7","REACTOME_INNATE_IMMUNE_SYSTEM"
"211","JUN","REACTOME_INNATE_IMMUNE_SYSTEM"
"212","TMEM189-UBE2V1","REACTOME_INNATE_IMMUNE_SYSTEM"
"213","LBP","REACTOME_INNATE_IMMUNE_SYSTEM"
"214","LGALS3","REACTOME_INNATE_IMMUNE_SYSTEM"
"215","DEFB132","REACTOME_INNATE_IMMUNE_SYSTEM"
"216","UNC93B2","REACTOME_INNATE_IMMUNE_SYSTEM"
"217","CD180","REACTOME_INNATE_IMMUNE_SYSTEM"
"218","DEFB103A","REACTOME_INNATE_IMMUNE_SYSTEM"
"219","MBL2","REACTOME_INNATE_IMMUNE_SYSTEM"
"220","ART1","REACTOME_INNATE_IMMUNE_SYSTEM"
"221","CD46","REACTOME_INNATE_IMMUNE_SYSTEM"
"222","MEF2A","REACTOME_INNATE_IMMUNE_SYSTEM"
"223","MEF2C","REACTOME_INNATE_IMMUNE_SYSTEM"
