,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Her2+ IDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-S10-28388_,,,,,,,,,,,,M-S10-28388_1,,,,,,,,,,,,M-S10-28388_2,,,,,,,,,,
,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
,8,1,180,1767,517,1,1,1,180,1767,0,,8,1,528,912,1151,1,1,1,528,912,0,,8,1,666,1302,1026,1,1,1,666,1302,0
,8,1,186,1704,454,1,1,1,186,1704,0,,8,1,483,840,1300,1,1,1,483,840,0,,8,1,717,1143,2531,1,1,1,717,1143,0
,8,1,288,1674,451,1,1,1,288,1674,0,,8,1,525,774,1356,1,1,1,525,774,0,,8,1,588,1257,1914,1,1,1,588,1257,0
,8,1,294,1611,484,1,1,1,294,1611,0,,8,1,525,720,1444,1,1,1,525,720,0,,8,1,582,1632,2306,1,1,1,582,1632,0
,8,1,135,1533,494,1,1,1,135,1533,0,,8,1,597,768,987,1,1,1,597,768,0,,8,1,513,1347,1717,1,1,1,513,1347,0
,8,1,69,1281,471,1,1,1,69,1281,0,,8,1,618,705,970,1,1,1,618,705,0,,8,1,351,1236,1852,1,1,1,351,1236,0
,8,1,99,1233,493,1,1,1,99,1233,0,,8,1,546,657,920,1,1,1,546,657,0,,8,1,498,1074,1361,1,1,1,498,1074,0
,8,1,141,1257,564,1,1,1,141,1257,0,,8,1,492,624,1410,1,1,1,492,624,0,,8,1,504,891,738,1,1,1,504,891,0
,8,1,186,1290,424,1,1,1,186,1290,0,,8,1,507,528,1209,1,1,1,507,528,0,,8,1,249,807,806,1,1,1,249,807,0
,8,1,255,1314,470,1,1,1,255,1314,0,,8,1,471,504,1463,1,1,1,471,504,0,,8,1,120,834,1087,1,1,1,120,834,0
,8,1,270,1275,582,1,1,1,270,1275,0,,8,1,489,462,660,1,1,1,489,462,0,,8,1,936,660,294,1,1,1,936,660,0
,8,1,288,1359,537,1,1,1,288,1359,0,,8,1,516,390,1327,1,1,1,516,390,0,,8,1,1113,777,414,1,1,1,1113,777,0
,8,1,321,1362,642,1,1,1,321,1362,0,,8,1,558,390,1194,1,1,1,558,390,0,,8,1,1335,603,1239,1,1,1,1335,603,0
,8,1,339,1407,486,1,1,1,339,1407,0,,8,1,663,426,1334,1,1,1,663,426,0,,8,1,1203,444,286,1,1,1,1203,444,0
,8,1,294,1407,416,1,1,1,294,1407,0,,8,1,702,459,1065,1,1,1,702,459,0,,8,1,1671,726,1273,1,1,1,1671,726,0
,8,1,414,1347,563,1,1,1,414,1347,0,,8,1,672,504,672,1,1,1,672,504,0,,8,1,1638,396,459,1,1,1,1638,396,0
,8,1,435,1275,686,1,1,1,435,1275,0,,8,1,540,498,1225,1,1,1,540,498,0,,8,1,1728,336,504,1,1,1,1728,336,0
,8,1,546,1182,715,1,1,1,546,1182,0,,8,1,738,633,1345,1,1,1,738,633,0,,8,1,1632,249,250,1,1,1,1632,249,0
,8,1,390,1197,350,1,1,1,390,1197,0,,8,1,834,621,1247,1,1,1,834,621,0,,8,1,1464,333,293,1,1,1,1464,333,0
,8,1,378,1239,394,1,1,1,378,1239,0,,8,1,828,516,939,1,1,1,828,516,0,,8,1,1488,201,258,1,1,1,1488,201,0
,8,1,321,1188,580,1,1,1,321,1188,0,,8,1,936,432,1493,1,1,1,936,432,0,,8,1,1263,174,451,1,1,1,1263,174,0
