"","DCIS.15T","DCIS.166T","DCIS.178T","DCIS.17T","DCIS.18T","DCIS.274T","DCIS.280T","DCIS.307T","DCIS.320T","DCIS.322T","DCIS.336T","IDC.127T","IDC.180T.HER2.","IDC.192T.HER2.","IDC.229T.HER2.","IDC.249T.TN","IDC.251T.TN","IDC.255T.TN","IDC.340T.TN","IDC.97T","IDC.242T","IDC.256T","N113OT","N113ST","N166OT","N166ST","N169OT","N169ST","N170OT","N170ST","N215OT","N215ST","N250OT","N250ST","N253OT","N253ST","N256ST.BRCA1","N261ST.BRCA1","N335ST.BRCA2","N352ST.BRCA1","N353ST.BRCA2"
"ABHD17A",0,0,11,11,1,43,8,1,0,0,25,1,1,16,12,1,323,0,3,42,2,0,0,11,3,0,1,106,3,1,2,1,0,1,0,0,5,9,448,86,34
"ABHD17B",2,22,8,8,4,0,1077,50,1,0,10,47,138,45,23,0,22,0,0,6,60,7,111,13,3,1,2,54,12,13,1,0,32,74,11,5,16,19,5,399,88
"ABHD17C",47,18,59,72,668,0,1,0,0,0,0,108,0,20,3,0,0,1,1,4,18,21,39,128,101,48,4,97,160,5,10,8,12,259,61,11,0,8,0,0,0
"ABHD18",1,2,3,1,5,5,2,0,2,2,0,6,13,24,14,0,2,0,0,52,33,0,28,1,1,0,7,5,1,0,0,1,3,1,1,1,74,5,13,2,9
"ABHD2",76,45,28,168,51,2241,1,8,0,16,0,38,47,81,50,0,1,0,0,5,25,7,2,3,16,9,69,53,4,9,9,1,5,3,9,125,4,6,28,208,201
"ABHD3",5,0,16,2,14,4,14,11,1,0,1,16,8,58,57,7,0,1,0,0,2,1,7,0,7,1,1,0,0,62,0,2,47,2,2,2,4,4,11,28,15
"ABHD4",9,10,65,42,39,2,24,0,0,0,0,12,9,4,1,0,0,2,48,5,72,0,1165,3,0,6,99,0,10,1,13,0,0,10,0,1,9,6,1,1,30
"ABHD5",26,424,5,2,0,2,54,18,5,2,42,4,99,93,113,0,0,1,0,3,28,10,20,8,0,0,40,8,1,45,7,64,41,49,17,3,18,26,29,26,173
"ABHD6",5,6,6,24,25,2,0,0,0,6,0,3,15,2,1,0,4,1,1,1,54,2,2,0,5,2,5,3,8,5,0,0,1,32,1,3,4,618,1,0,1
"ABHD8",184,1131,92,36,41,10,0,0,0,0,0,132,0,1,2,0,0,0,0,18,10,695,375,14,891,110,109,740,300,200,53,277,712,52,306,49,0,0,0,0,7
"ABI1",598,3,9,433,82,252,45,5,0,6993,33,5,1514,277,146,0,78,816,556,0,9,4,36,14,14,2,126,4,46,6,1,8,225,43,718,8,88,92,983,22,463
"ABI2",21,54,47,55,194,19,1,0,0,0,0,73,82,27,35,0,0,0,125,82,66,44,34,28,102,721,47,117,41,135,100,30,5,87,330,115,5,160,300,24,180
"ABI3",67,4,186,598,53,38,59,0,0,0,0,11,4,4,7,10,0,0,0,15,86,0,27,1882,3,3,66,4,201,0,1,12,2,19,11,25,6,81,3,749,13
"ABI3BP",1,96,5,5,105,0,2,0,0,0,1,7,0,0,3,0,0,0,0,3,61,14,7,4,4,4,2,0,5,0,3,3,0,1,5,27,5,5,24,20,23
"ABL1",35,124,57,414,313,57,5343,4,2,2,1233,330,12,19,11,13,16,4,38,1805,40,18,214,48,293,1316,104,787,183,1058,91,132,72,70,12,92,29,41,40,125,183
"ABL2",26,35,61,63,75,4,178,4,0,29,34,21,207,93,21,0,6,0,27,6,40,9,1342,15,235,21,4,8,11,34,3,81,2898,17,15,11,102,1788,371,723,715
"ABLIM1",128,14,64,209,31,5085,1446,17647,31,28,756,80,45,105,44,1504,180,38,15,4,9,108,107,16,11,20,138,56,53,123,16,15,21,32,125,1734,144,26906,5601,2221,809
"ABLIM2",123,35,14,22,34,0,36,0,0,1,0,102,3,0,0,0,0,0,0,0,39,4,5,21,12,148,24,263,50,553,9,13,4,64,23,20,0,1,9,12,8
"ABLIM3",51,45,2,48,105,68,24,0,0,0,0,7,0,0,0,0,0,0,0,7,14,1,24,638,6,8,7,7,3,2,0,0,10,0,53,1,0,0,0,8,13
"ABO",49,50,10,949,10,8,2,0,2,0,3,1,0,0,0,2,2,1,0,10,78,1111,52,5,215,41,32,63,6,9,21,3,87,125,5,29,0,2,0,51,0
"ABR",189,2679,235,88,224,99,50,7,0,1,47,773,6,11,18,2,13,4,1,13,59,268,143,51,298,394,60,598,139,54,63,253,4655,17,99,130,37,69,275,33,56
"ABRA",3,4,657,2,0,0,2989,0,0,0,0,10,0,0,0,0,0,0,0,1,61,2,1,0,2,0,1,2,9,9,1,0,0,0,661,0,0,2,0,0,0
"ABRACL",17,9,4,20,9,87,3,0,0,0,0,5,10,24,55,0,53,0,7,4,8,3,3,2,21,1,15,174,3,23,76,45,1,177,5,4,8,2,8,12,109
"ABT1",31,2,71898,1,10,0,4,0,1,0,0,0,9,6,11,0,13,0,0,42,1,2,2,2,1,190,1,3,22,984,1,10,4,2,0,2,10,52,11,17,163
"ABTB1",31,14,11,108,45,68,15,1,0,0,1,4,1,11,9,0,0,0,0,2,3,2,143,3,3,2,1,154,7,0,1,2,4,3,2,2,6,0,3,7,11
"ABTB2",1461,14,46,215,116,64,10,309,0,0,1,19,6,3,2,0,0,0,0,59,37,23,34,32,19,109,46,202,34,38,22,568,30,2361,82,131,3,64,14,41,19
"ACAA1",211,355,20,13,1411,5,0,1,0,5,17,16,3,15,12,0,3,31,1,1,11,1,37,2,16,1,1,3,2,64,4,9,55,4,0,28,4,13,17,3,5
