,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Her2+ IDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-S11-32228_,,,,,,,,,,,,M-S11-32228_1,,,,,,,,,,,,M-S11-32228_3,,,,,,,,,,
,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
,2,2,537,444,212,2,1,1,537,444,0,,2,2,2865,693,210,2,1,1,2865,693,0,,2,3,2991,210,233,3,1,1,2991,210,0
,2,2,603,518,211,2,1,1,603,518,0,,2,2,2943,696,207,2,1,1,2943,696,0,,2,3,3033,174,211,3,1,1,3033,174,0
,2,2,611,572,208,2,1,1,611,572,0,,2,2,2967,846,213,2,1,1,2967,846,0,,2,3,3114,330,212,3,1,1,3114,330,0
,2,2,583,681,227,2,1,1,583,681,0,,2,2,3036,876,212,2,1,1,3036,876,0,,2,3,3042,330,243,3,1,1,3042,330,0
,2,2,485,698,214,2,1,1,485,698,0,,2,2,2838,873,210,2,1,1,2838,873,0,,2,3,3036,390,263,3,1,1,3036,390,0
,2,2,455,751,268,2,1,1,455,751,0,,2,2,2685,915,211,2,1,1,2685,915,0,,2,3,3063,741,216,3,1,1,3063,741,0
,2,2,396,783,209,2,1,1,396,783,0,,2,2,2505,828,214,2,1,1,2505,828,0,,2,3,3282,783,209,3,1,1,3282,783,0
,2,2,330,753,208,2,1,1,330,753,0,,2,2,2469,744,209,2,1,1,2469,744,0,,2,3,3261,1077,210,3,1,1,3261,1077,0
,2,2,330,701,213,2,1,1,330,701,0,,2,2,2520,711,208,2,1,1,2520,711,0,,2,3,3240,138,208,3,1,1,3240,138,0
,2,2,330,679,215,2,1,1,330,679,0,,2,2,2520,681,207,2,1,1,2520,681,0,,2,3,3267,138,214,3,1,1,3267,138,0
,2,2,422,659,209,2,1,1,422,659,0,,2,2,2580,708,210,2,1,1,2580,708,0,,2,3,3393,84,209,3,1,1,3393,84,0
,2,2,387,563,236,2,1,1,387,563,0,,2,2,2634,714,210,2,1,1,2634,714,0,,2,3,3405,39,209,3,1,1,3405,39,0
,2,2,354,524,219,2,1,1,354,524,0,,2,2,2622,621,211,2,1,1,2622,621,0,,2,3,2481,1956,210,3,1,1,2481,1956,0
,2,2,315,579,215,2,1,1,315,579,0,,2,2,2712,627,212,2,1,1,2712,627,0,,2,3,2553,1887,209,3,1,1,2553,1887,0
,2,2,298,555,213,2,1,1,298,555,0,,2,2,2706,696,214,2,1,1,2706,696,0,,2,3,2694,1872,204,3,1,1,2694,1872,0
,2,2,296,478,205,2,1,1,296,478,0,,2,2,2763,657,213,2,1,1,2763,657,0,,2,3,2673,1935,208,3,1,1,2673,1935,0
,2,2,269,431,207,2,1,1,269,431,0,,2,2,2775,597,211,2,1,1,2775,597,0,,2,3,2736,2037,217,3,1,1,2736,2037,0
,2,2,306,396,206,2,1,1,306,396,0,,2,2,2820,558,212,2,1,1,2820,558,0,,2,3,2655,2139,209,3,1,1,2655,2139,0
,2,2,339,472,207,2,1,1,339,472,0,,2,2,2769,534,212,2,1,1,2769,534,0,,2,3,2655,2187,204,3,1,1,2655,2187,0
,2,2,165,470,213,2,1,1,165,470,0,,2,2,2712,501,215,2,1,1,2712,501,0,,2,3,2556,2172,214,3,1,1,2556,2172,0
,2,2,117,594,211,2,1,1,117,594,0,,2,2,2718,444,212,2,1,1,2718,444,0,,2,3,2571,2211,220,3,1,1,2571,2211,0
